770, {'net_id': 'net_evo13_crossover43', 'acc1': 80.632, 'acc5': 94.92800001953125, 'flops': 767.820272, 'resolution': 288, 'width': [16, 16, 24, 32, 64, 112, 208, 216, 1792], 'kernel_size': [3, 3, 5, 5, 3, 3, 3], 'expand_ratio': [1, 4, 4, 5, 4, 6, 6], 'depth': [1, 3, 3, 3, 6, 6, 2]}

780, {'net_id': 'net_evo15_crossover15', 'acc1': 80.6660000390625, 'acc5': 94.97000002929687, 'flops': 783.087216, 'resolution': 288, 'width': [16, 16, 24, 32, 64, 112, 208, 216, 1792], 'kernel_size': [5, 3, 5, 5, 3, 3, 3], 'expand_ratio': [1, 4, 5, 5, 4, 6, 6], 'depth': [1, 3, 3, 5, 5, 6, 2]}

790, {'net_id': 'net_evo15_crossover2', 'acc1': 80.6520000390625, 'acc5': 94.9360000390625, 'flops': 790.049264, 'resolution': 288, 'width': [16, 16, 24, 32, 64, 112, 208, 216, 1792], 'kernel_size': [3, 3, 5, 5, 3, 3, 3], 'expand_ratio': [1, 5, 4, 5, 4, 6, 6], 'depth': [1, 3, 3, 3, 6, 6, 2]}

800, {'net_id': 'net_evo17_mutate9', 'acc1': 80.7220000390625, 'acc5': 94.94400000976563, 'flops': 799.146016, 'resolution': 288, 'width': [16, 16, 24, 32, 64, 120, 208, 216, 1792], 'kernel_size': [5, 3, 5, 5, 3, 5, 3], 'expand_ratio': [1, 5, 5, 4, 4, 6, 6], 'depth': [1, 3, 3, 3, 5, 6, 2]}

810, {'net_id': 'net_evo14_crossover73', 'acc1': 80.7360000390625, 'acc5': 94.9480000390625, 'flops': 806.316368, 'resolution': 288, 'width': [16, 16, 24, 32, 64, 112, 208, 216, 1792], 'kernel_size': [5, 3, 5, 5, 3, 3, 3], 'expand_ratio': [1, 4, 4, 6, 4, 6, 6], 'depth': [1, 3, 4, 3, 5, 7, 2]}

820, {'net_id': 'net_evo10_crossover106', 'acc1': 80.7240000390625, 'acc5': 95.0200000390625, 'flops': 822.78872, 'resolution': 288, 'width': [16, 16, 24, 32, 64, 112, 208, 216, 1792], 'kernel_size': [5, 5, 5, 5, 3, 3, 3], 'expand_ratio': [1, 4, 5, 5, 4, 6, 6], 'depth': [1, 3, 4, 5, 5, 6, 2]}

830, {'net_id': 'net_evo10_mutate103', 'acc1': 80.71800001953125, 'acc5': 94.89600002929687, 'flops': 833.233664, 'resolution': 288, 'width': [24, 16, 24, 32, 72, 112, 208, 224, 1792], 'kernel_size': [3, 3, 5, 3, 3, 3, 5], 'expand_ratio': [1, 4, 4, 5, 4, 6, 6], 'depth': [1, 3, 4, 4, 6, 6, 2]}

840, {'net_id': 'net_evo7_crossover3', 'acc1': 80.7860000390625, 'acc5': 94.96800004882813, 'flops': 842.787504, 'resolution': 288, 'width': [16, 16, 24, 32, 64, 128, 208, 216, 1792], 'kernel_size': [5, 3, 5, 3, 3, 3, 3], 'expand_ratio': [1, 4, 5, 5, 4, 6, 6], 'depth': [1, 3, 3, 3, 5, 7, 2]}

850, {'net_id': 'net_evo17_crossover32', 'acc1': 80.86400001953125, 'acc5': 95.01200002929687, 'flops': 851.849296, 'resolution': 288, 'width': [16, 16, 24, 32, 64, 128, 208, 216, 1792], 'kernel_size': [3, 3, 5, 5, 3, 3, 3], 'expand_ratio': [1, 4, 5, 4, 4, 6, 6], 'depth': [1, 3, 4, 3, 6, 6, 2]}

860, {'net_id': 'net_evo8_crossover39', 'acc1': 80.80799999999999, 'acc5': 94.9720000390625, 'flops': 863.643904, 'resolution': 288, 'width': [16, 16, 24, 32, 64, 120, 208, 216, 1792], 'kernel_size': [5, 5, 5, 3, 3, 3, 3], 'expand_ratio': [1, 4, 5, 4, 4, 6, 6], 'depth': [1, 3, 3, 6, 5, 7, 2]}

870, {'net_id': 'net_evo15_crossover3', 'acc1': 80.816, 'acc5': 95.05400001953124, 'flops': 868.572368, 'resolution': 288, 'width': [16, 16, 24, 32, 64, 112, 208, 216, 1792], 'kernel_size': [3, 3, 5, 5, 3, 3, 3], 'expand_ratio': [1, 6, 6, 5, 4, 6, 6], 'depth': [1, 3, 4, 3, 5, 7, 2]}

880, {'net_id': 'net_evo9_crossover114', 'acc1': 80.87400003906251, 'acc5': 94.9880000390625, 'flops': 884.004224, 'resolution': 288, 'width': [16, 16, 24, 32, 72, 120, 208, 216, 1792], 'kernel_size': [3, 3, 5, 3, 3, 3, 3], 'expand_ratio': [1, 4, 4, 5, 4, 6, 6], 'depth': [1, 3, 3, 5, 6, 7, 2]}

890, {'net_id': 'net_evo18_crossover67', 'acc1': 80.85000003906251, 'acc5': 94.98400001953125, 'flops': 892.752496, 'resolution': 288, 'width': [16, 16, 24, 32, 64, 112, 208, 216, 1792], 'kernel_size': [3, 3, 5, 5, 3, 3, 3], 'expand_ratio': [1, 6, 4, 6, 4, 6, 6], 'depth': [1, 3, 4, 6, 6, 6, 2]}

900, {'net_id': 'net_evo18_crossover71', 'acc1': 80.88000003906251, 'acc5': 95.03400002929688, 'flops': 895.935472, 'resolution': 288, 'width': [16, 16, 24, 32, 64, 112, 208, 216, 1792], 'kernel_size': [5, 5, 5, 5, 3, 3, 3], 'expand_ratio': [1, 6, 4, 5, 4, 6, 6], 'depth': [1, 3, 4, 5, 6, 6, 2]}

910, {'net_id': 'net_evo10_crossover10', 'acc1': 80.89, 'acc5': 95.02600001953125, 'flops': 914.527616, 'resolution': 288, 'width': [16, 16, 24, 32, 72, 120, 208, 216, 1792], 'kernel_size': [3, 3, 5, 3, 3, 3, 3], 'expand_ratio': [1, 5, 4, 5, 4, 6, 6], 'depth': [2, 3, 3, 5, 6, 7, 2]}

920, {'net_id': 'net_evo16_crossover32', 'acc1': 80.9460000390625, 'acc5': 95.04800004882813, 'flops': 917.370608, 'resolution': 288, 'width': [16, 16, 24, 32, 72, 128, 208, 216, 1792], 'kernel_size': [3, 3, 5, 3, 3, 3, 3], 'expand_ratio': [1, 5, 4, 5, 4, 6, 6], 'depth': [1, 3, 4, 3, 6, 7, 2]}

930, {'net_id': 'net_evo12_crossover9', 'acc1': 80.898, 'acc5': 95.06800002929687, 'flops': 933.09256, 'resolution': 288, 'width': [16, 16, 32, 32, 72, 112, 208, 216, 1792], 'kernel_size': [3, 3, 5, 5, 3, 3, 3], 'expand_ratio': [1, 5, 5, 4, 4, 6, 6], 'depth': [1, 3, 4, 3, 6, 7, 2]}

